address,amount
juno1uapf6l45dg25apwrvmgx5cpttkr9hzdmqt9wf7,28853.18004
juno1jx5wn8emwmjxe9jka46akyycpkyfzv42y5vw4v,25667.86204
juno163ngk26w03zstnhpvz92pn8h2peshnkam35nx0,17704.56703
juno13u4dsapth4m3hef3z8qgjtdnv06predeu2s297,9741.272018
juno1a4emmz7gu20l45z6mccnzqnwasccnthqf9ha4s,6555.954013
juno16m3y3qlxf56a03y8z8c0edxpdx2y3pq0fngc54,3370.636009
