address,name,current_delegation,percentage,delegation_amount,,,
junovaloper1sgghjqdrj9kujkx38q04d99qsljwfd6mxyrssk,[ block pane ],"10244,00","0,1057759921",28666,,,
junovaloper1kgddca7qj96z0qcxr2c45z73cfl0c75pjjs360,ChainLayer,"9950,00","0,10274025",16000,,,
junovaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgj6jfwcp,FreshJUNO,"9490,73","0,09799801598",21550,,,
junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,AUDIT.one,"7702,00","0,07952818145",19995,,,
junovaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7w0ztsx,cyphercore,"6989,99","0,07217616647",23488,,,
junovaloper175q6smvgnuec5e62rs4chnu5cs8d98q2e4l6cl,elsehow,"6731,17","0,06950372927",25000,,,
junovaloper1x73p5aukx7ak8c2gss3ctvdlqyln38xjnkdj83,0% fees | Stakers,"5524,00","0,05703890864",20000,,,
junovaloper1q6d3d089hg59x6gcx92uumx70s5y5wad6yachx,Ubik Capital,"5169,71","0,05338058132",22500,,,
junovaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuw7dw66,syncnode,"3500,00","0,03613978643",17655,,,
junovaloper1ncu32g0lzhk0epzdar7smd3qv9da2n8w8mwn4k,CryptoCrew Validators ✅ GenesisCrew,"2451,31","0,02531139782",20000,,,
junovaloper1p0r4znp29547d8ra5k8t6ls0ztm3tj74ak38wz,Cros-nest,"1975,63","0,02039967036",31000,,,
junovaloper1vq8tw77kp8lvxq9u3c8eeln9zymn68rng8pgt4,Secure Secrets,"1797,99","0,01856542132",24577,,,
junovaloper15qpazr8ygkgy2sqc33wkr3q6tzmnrupx9xcr07,Fist of the North Star,"1416,00","0,01462112502",20000,,,
junovaloper1s0lankh33kprer2l22nank5rvsuh9ksahu7s62,KingSuper,"1009,00","0,01041858415",19000,,,
junovaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vpa8t8p2,kytzu,"1000,00","0,01032565327",20000,,,
junovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuvynw64,jabbey,"950,00","0,009809370602",20000,,,
junovaloper1qcrjhyp0x7ft5k0duz8gxx4cmwqaxv7lr0lxa5,STC Capital,"847,02","0,008746030699",20000,,,
junovaloper1la7th9kc3gdltl53cedxxqpkyk5runudrzwx55,StakeLab,"643,02","0,006639601563",29777,,,
junovaloper1zxx8j75ngm8m38v9l5wreaavwnsuun7gcq5cu8,CommunityStaking,"393,31","0,004061223989",27888,,,
junovaloper10wq46f8du234aqtlucv7h9jtrfuxmcnt9ln69l,chainvibes,"381,00","0,003934073894",31677,,,
junovaloper1s05va5d09xlq3et8mapsesqh6r5lqy7m6v038d,Wetez,"311,00","0,003211287748",26877,,,
junovaloper19w9huamhq32shes95dr4kmqequ5pe450up6wvf,Invicta Stake,"278,00","0,002870531608",15644,,,
junovaloper1ualhu3fjgg77g485gmyswkq3w0dp7gyskmr0n6,stake.systems,"234,00","0,002416202864",17655,,,
junovaloper1mzqqrctm0hvkghf66jruxjtggd5j447dmugz0j,Chill Validation,"185,00","0,001910245854",11300,,,
junovaloper1353ewfc0v7pnn3xre6v9lraghxrhenswmsjhv0,cyberG,"99,00","0,001022239673",25000,,,
junovaloper1mxpyg8u68k6a8wdu3hs5whcpw9q285pcpxm5yx,web34ever,"99,00","0,001022239673",27000,,,
junovaloper1ty96k6wly7k9ualepv2hs258u29esn6mq02yd4,Consensus One,"9,00","0,00009293087939",20000,,,
junovaloper16msryt3fqlxtvsy8u5ay7wv2p8mglfg9g70e3q,Witval,"9,00","0,00009293087939",31000,,,
junovaloper1aevx3gfvvdce60ql75fp6j4fzj42lru9h0vhqq,OranG3cluB,"9,00","0,00009293087939",20000,,,
junovaloper1cgh5ksjwy2sd407lyre4l3uj2fdrqhpkw6wmfv,HashQuark,"6,00","0,00006195391959",26599,,,
junovaloper16467xlswtq874gj30lrwgae2jqfn64du24w7wx,Messi,"6,00","0,00006195391959",9799,,,
junovaloper1gsjfwpfskfzkwl97tlsph8n2ap0gyjucp0j72x,pathrocknetwork,"5,00","0,00005162826633",16588,,,
junovaloper1vd02f9cshv2ur4zvm68zgvwxsmtpn69kqhdv4p,SOLAR Validator,"2,10","0,00002168387186",19300,,,
junovaloper193486ateqqf3v7z89x74zx9s85xketdyu9ttts,NodesGuru,"2,00","0,00002065130653",27000,,,
junovaloper1kuu0a4d5a50wvmhv8x0hh4snvncqr3qsfmrknp,Centurion,"2,00","0,00002065130653",7900,,,
junovaloper166r5ylkp70xe0ysq2hjxn26m4q9vfn8q3lv46c,Rhinostake,"1,49","0,0000153335951",17977,,,
junovaloper1fj75m0v53ezdd8mlknzgdg4l3hvwh0h20sg4a8,1% fees | Validator.run,"1,10","0,00001135821859",11644,,,
junovaloper1gwd9l44t22e3nteu68akfgykuxu6lq6m6u786d,Oldcat,"1,00","0,00001032565327",16544,,,
junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,Wave,"1,00","0,00001032565327",17899,,,
junovaloper1dru5985k4n5q369rxeqfdsjl8ezutch8mc6nx9,Highlander Nodes,,,30000,,,
